aX,aY,aZ,gX,gY,gZ
-0.592,-0.890,-0.943,221.252,204.895,-43.213
-0.579,-0.864,-0.847,219.177,224.426,-52.124
-0.617,-0.812,-0.744,209.167,232.422,-60.730
-0.673,-0.709,-0.694,194.214,230.103,-69.763
-0.753,-0.581,-0.659,177.490,221.619,-75.500
-0.795,-0.464,-0.627,159.119,212.524,-74.890
-0.821,-0.380,-0.600,139.282,205.811,-68.787
-0.820,-0.339,-0.553,121.033,200.562,-59.326
-0.782,-0.318,-0.481,105.347,193.848,-50.720
-0.778,-0.273,-0.442,89.539,184.814,-44.128
-0.739,-0.243,-0.400,77.881,177.734,-39.124
-0.696,-0.273,-0.327,73.608,172.180,-33.752
-0.656,-0.315,-0.266,69.885,162.842,-30.457
-0.611,-0.321,-0.234,59.448,151.917,-29.419
-0.559,-0.267,-0.197,46.814,140.198,-27.527
-0.567,-0.212,-0.157,37.781,128.601,-20.996
-0.557,-0.179,-0.106,33.752,119.019,-11.108
-0.508,-0.160,-0.039,32.654,111.145,-0.854
-0.444,-0.151,0.049,34.973,101.624,10.620
-0.366,-0.153,0.164,39.917,88.379,22.583
-0.254,-0.166,0.337,42.725,70.374,35.889
-0.093,-0.165,0.543,34.912,46.509,52.734
0.080,-0.152,0.776,17.883,16.785,72.327
0.272,-0.144,1.032,-2.380,-19.531,94.543
0.464,-0.186,1.331,-19.714,-62.500,120.544
0.660,-0.258,1.630,-35.034,-106.934,148.743
0.965,-0.413,1.990,-47.241,-150.818,171.753
1.377,-0.641,2.291,-49.805,-204.163,185.181
1.726,-0.822,2.435,-42.908,-272.949,194.397
1.936,-0.969,2.380,-27.588,-347.717,199.097
2.320,-1.124,2.127,-0.305,-413.757,192.383
2.560,-1.285,1.774,38.086,-476.379,172.852
2.697,-1.423,1.280,75.134,-521.851,141.846
2.717,-1.417,0.680,105.164,-544.861,100.586
2.651,-1.281,0.131,132.568,-548.218,50.659
2.550,-1.108,-0.387,161.804,-542.603,9.155
2.382,-1.023,-0.935,190.063,-532.837,-16.785
2.207,-0.964,-1.590,212.280,-521.484,-36.499
1.851,-0.880,-2.332,230.103,-504.639,-55.298
1.534,-0.841,-2.891,243.652,-464.722,-78.735
1.350,-0.715,-3.303,239.929,-405.090,-101.990
1.115,-0.589,-3.592,231.201,-348.816,-115.967
0.874,-0.489,-3.845,229.553,-305.359,-130.493
0.712,-0.348,-4.000,221.680,-268.921,-150.696
0.406,-0.046,-4.000,199.707,-242.249,-162.292
0.272,-0.093,-4.000,164.978,-225.647,-166.748
0.210,0.221,-4.000,107.666,-181.335,-175.232
0.053,0.273,-4.000,76.172,-129.211,-169.312
-0.029,0.346,-4.000,56.274,-86.853,-167.053
-0.148,0.482,-4.000,54.871,-44.006,-162.231
-0.234,0.446,-4.000,64.209,-6.348,-155.151
-0.310,0.423,-4.000,63.110,37.292,-141.663
-0.310,0.344,-3.928,56.885,90.149,-127.502
-0.177,0.220,-3.587,48.523,142.639,-119.995
-0.108,0.103,-3.169,37.598,183.594,-113.220
-0.066,0.021,-2.756,21.729,216.125,-106.750
0.004,-0.021,-2.372,3.784,243.042,-104.248
0.054,-0.033,-2.014,-10.803,264.282,-101.990
0.101,-0.033,-1.704,-18.677,280.701,-97.839
0.142,-0.052,-1.436,-17.883,290.649,-92.957
0.155,-0.087,-1.216,-11.353,294.617,-86.731
0.163,-0.142,-1.053,-6.104,294.983,-81.055
0.179,-0.181,-0.976,-5.615,295.715,-77.209
0.227,-0.157,-0.908,-11.414,300.232,-74.463
0.276,-0.126,-0.799,-21.301,307.190,-68.726
0.322,-0.090,-0.689,-30.579,310.181,-62.256
0.366,-0.056,-0.592,-35.950,303.833,-58.533
0.388,0.000,-0.463,-38.635,293.213,-54.749
0.400,0.041,-0.335,-34.424,278.198,-49.072
0.443,0.026,-0.272,-23.193,259.094,-43.091
0.514,-0.056,-0.250,-12.329,240.784,-38.025
0.598,-0.163,-0.204,-8.667,225.037,-36.316
0.635,-0.209,-0.137,-12.634,211.182,-36.682
0.613,-0.171,-0.082,-18.005,197.144,-37.415
0.602,-0.057,-0.010,-19.653,184.570,-38.757
0.596,0.073,0.088,-13.428,170.105,-38.025
0.577,0.194,0.167,0.671,145.447,-32.837
0.583,0.330,0.219,18.433,110.901,-24.109
0.591,0.468,0.245,34.058,72.571,-10.803
0.600,0.621,0.227,44.678,34.607,7.385
0.597,0.702,0.188,51.025,0.916,29.602
0.657,0.717,0.124,53.101,-26.489,50.964
0.703,0.735,0.093,50.598,-51.392,71.716
0.687,0.729,0.112,49.377,-75.989,92.896
0.655,0.733,0.114,50.903,-97.290,110.962
0.634,0.794,0.096,55.359,-113.708,126.465
0.632,0.882,0.053,65.552,-127.869,139.160
0.644,0.962,0.016,84.473,-147.156,151.245
0.693,1.044,-0.026,107.117,-171.509,165.527
0.768,1.089,-0.078,128.662,-199.951,187.744
0.814,1.047,-0.158,145.203,-231.018,221.436
0.882,0.940,-0.239,153.137,-260.498,260.193
0.964,0.777,-0.287,152.588,-286.682,295.349
1.083,0.613,-0.335,145.996,-311.707,324.463
1.229,0.495,-0.414,134.888,-336.182,349.365
1.266,0.301,-0.652,125.183,-359.009,371.704
1.240,0.041,-1.020,121.765,-366.211,382.080
1.195,-0.282,-1.311,119.629,-356.140,377.441
1.149,-0.650,-1.578,108.398,-338.623,366.333
1.088,-1.030,-1.820,92.346,-314.636,347.290
1.107,-1.306,-1.965,71.350,-290.588,322.510
1.253,-1.464,-2.024,43.335,-265.015,301.636
1.515,-1.601,-2.015,22.583,-237.427,285.522
1.652,-1.751,-1.926,20.630,-222.656,268.005
1.688,-1.894,-1.852,26.794,-221.191,248.901
1.600,-2.161,-1.920,30.029,-226.318,224.243
1.409,-2.381,-1.992,22.644,-232.056,189.514
1.270,-2.316,-2.040,-7.935,-228.760,152.710
0.995,-2.380,-1.947,-49.927,-219.971,117.126
0.966,-2.284,-2.034,-98.389,-201.111,68.481
0.833,-1.915,-2.169,-121.887,-167.542,35.706
0.611,-1.582,-2.120,-112.183,-129.578,18.372
0.478,-1.333,-2.077,-91.980,-81.238,5.188
0.373,-1.126,-2.010,-71.472,-27.588,-1.404
0.310,-1.048,-1.894,-54.260,18.250,-6.409
0.329,-1.014,-1.739,-45.776,53.223,-16.541
0.348,-0.973,-1.565,-47.241,73.853,-29.236
0.323,-0.920,-1.401,-57.983,82.336,-42.053
0.276,-0.840,-1.300,-75.073,83.984,-55.176
-0.113,-0.842,-1.746,107.117,108.887,-53.589
-0.114,-0.881,-1.737,106.689,129.272,-54.749
-0.099,-0.893,-1.698,102.295,150.146,-58.594
-0.082,-0.890,-1.611,96.985,168.701,-64.575
-0.081,-0.871,-1.507,87.830,182.861,-70.984
-0.082,-0.810,-1.400,74.158,192.139,-77.942
-0.118,-0.745,-1.274,57.922,196.045,-84.045
-0.153,-0.667,-1.168,40.466,197.571,-88.135
-0.163,-0.580,-1.107,26.428,200.378,-90.332
-0.190,-0.502,-1.038,24.414,206.238,-91.431
-0.243,-0.475,-0.969,31.860,217.041,-90.576
-0.228,-0.445,-0.920,44.128,234.436,-89.966
-0.177,-0.425,-0.821,58.350,253.174,-90.576
-0.148,-0.390,-0.719,68.726,266.296,-90.393
-0.137,-0.343,-0.598,70.984,271.301,-89.111
-0.134,-0.291,-0.489,66.101,268.433,-87.830
-0.094,-0.229,-0.369,55.176,260.559,-87.158
-0.107,-0.182,-0.228,40.466,247.070,-84.229
-0.149,-0.133,-0.130,24.414,228.333,-77.698
-0.170,-0.074,-0.096,10.803,209.351,-70.740
-0.168,-0.030,-0.104,4.944,193.665,-63.599
-0.145,-0.004,-0.083,7.385,184.998,-55.054
-0.103,-0.021,0.001,12.939,181.702,-45.715
-0.046,-0.032,0.081,14.648,176.819,-36.804
-0.001,-0.037,0.196,9.399,166.748,-26.306
0.028,-0.038,0.338,-3.296,151.855,-13.916
0.034,-0.012,0.472,-23.132,131.958,-1.221
0.039,0.015,0.586,-43.701,110.657,13.000
0.110,0.035,0.741,-63.416,93.262,30.273
0.239,0.038,0.942,-82.397,82.031,51.208
0.376,0.001,1.233,-101.990,72.693,75.867
0.538,-0.089,1.654,-123.230,60.852,104.248
0.742,-0.289,2.177,-143.066,37.292,134.888
0.986,-0.569,2.688,-156.189,-11.658,162.170
1.292,-0.818,3.017,-151.611,-91.309,176.941
1.668,-1.026,3.052,-119.202,-197.571,176.208
2.102,-1.210,2.789,-57.007,-314.148,167.603
2.538,-1.430,2.228,23.132,-420.959,150.574
2.952,-1.621,1.494,104.492,-503.845,118.713
3.169,-1.741,0.704,174.011,-552.917,63.904
3.189,-1.659,-0.024,224.365,-569.031,-16.357
3.150,-1.380,-0.634,250.000,-565.430,-104.431
2.921,-1.127,-1.143,242.554,-564.636,-171.082
2.638,-0.728,-1.786,197.144,-561.462,-206.909
2.322,-0.240,-2.438,149.963,-551.025,-227.234
2.056,0.367,-3.294,137.634,-532.288,-242.187
1.694,0.774,-4.000,169.739,-509.583,-248.535
1.098,0.792,-4.000,196.899,-467.163,-232.178
0.821,0.755,-4.000,156.250,-391.418,-202.332
0.578,0.844,-4.000,64.880,-311.462,-170.166
0.358,1.224,-4.000,-5.249,-253.784,-170.288
0.077,1.484,-4.000,-18.921,-208.618,-184.692
-0.157,1.459,-4.000,-8.606,-152.710,-169.250
-0.181,1.346,-4.000,4.944,-83.069,-142.578
-0.259,1.079,-4.000,18.860,-23.804,-132.263
-0.427,0.990,-4.000,13.611,37.048,-120.850
-0.321,0.845,-4.000,1.404,103.821,-112.610
-0.244,0.776,-3.675,-1.587,150.269,-99.365
-0.281,0.576,-3.095,11.414,178.101,-82.886
-0.199,0.343,-2.654,21.667,198.120,-75.439
-0.189,0.208,-2.291,22.217,216.980,-68.542
-0.212,0.070,-1.980,21.423,236.633,-57.739
-0.139,-0.021,-1.773,19.226,258.484,-51.941
-0.102,-0.077,-1.602,20.325,277.161,-51.575
-0.071,-0.115,-1.469,20.752,295.349,-54.993
-0.013,-0.067,-1.346,17.273,312.927,-59.265
0.045,-0.006,-1.192,14.832,325.012,-60.608
0.111,0.047,-1.009,15.137,328.491,-59.082
0.124,0.094,-0.855,15.320,322.021,-53.833
0.135,0.131,-0.740,12.878,310.547,-46.082
0.140,0.139,-0.655,8.118,296.265,-36.560
0.164,0.154,-0.586,0.427,282.593,-25.208
0.214,0.182,-0.543,-8.057,271.545,-14.221
0.266,0.191,-0.521,-14.771,264.221,-5.737
0.347,0.194,-0.493,-17.578,258.911,-0.732
0.453,0.188,-0.423,-19.165,253.235,3.174
0.515,0.210,-0.354,-22.705,245.972,9.338
0.568,0.231,-0.267,-26.611,234.924,18.555
0.596,0.258,-0.120,-30.090,217.773,29.541
0.615,0.287,0.027,-35.461,196.045,41.565
0.678,0.334,0.166,-39.001,168.091,54.993
0.732,0.369,0.302,-36.316,132.935,69.763
0.772,0.410,0.407,-28.381,93.567,84.045
0.792,0.444,0.468,-16.602,52.002,95.703
0.810,0.461,0.479,-2.258,12.817,104.980
0.858,0.468,0.456,12.512,-22.156,112.793
0.907,0.461,0.404,25.696,-54.749,120.178
0.899,0.471,0.343,40.405,-87.341,128.723
0.872,0.443,0.338,59.998,-118.103,137.634
0.919,0.409,0.343,77.759,-146.118,141.357
0.920,0.462,0.317,93.445,-178.406,144.592
0.869,0.543,0.253,108.459,-216.003,152.527
0.882,0.596,0.177,123.840,-252.686,162.170
0.977,0.593,0.106,139.282,-289.795,174.011
1.053,0.571,0.021,151.428,-332.642,188.965
1.129,0.578,-0.106,155.396,-375.122,210.571
1.189,0.547,-0.279,153.870,-410.217,237.793
1.173,0.460,-0.560,153.198,-434.692,264.343
1.205,0.321,-0.817,150.330,-442.749,284.973
1.283,0.018,-1.023,135.986,-437.866,299.805
1.234,-0.250,-1.407,114.990,-421.936,301.697
1.073,-0.442,-1.823,101.074,-397.583,281.067
0.913,-0.616,-2.060,82.581,-368.103,248.718
0.866,-0.723,-2.198,37.292,-334.656,227.112
0.870,-0.753,-2.233,-16.785,-303.589,220.398
0.937,-0.729,-2.183,-52.856,-279.480,221.069
1.052,-0.755,-2.098,-58.350,-258.972,226.379
1.194,-0.961,-1.959,-36.743,-248.108,232.117
1.277,-1.184,-1.848,-14.587,-245.850,235.107
1.346,-1.429,-1.724,-5.615,-253.967,233.154
1.367,-1.820,-1.826,-7.812,-263.977,220.093
1.281,-2.149,-2.017,-14.587,-261.963,190.674
1.237,-2.261,-2.117,-31.677,-247.864,150.574
1.150,-2.219,-2.242,-58.044,-217.224,110.413
1.010,-2.018,-2.322,-75.500,-169.189,70.313
0.991,-1.725,-2.275,-75.684,-110.352,29.968
0.962,-1.435,-2.087,-63.110,-56.885,-3.784
0.896,-1.175,-1.935,-49.500,-14.954,-26.855
0.775,-0.961,-1.761,-44.495,15.869,-39.673
0.562,-0.696,-1.478,-46.997,50.964,-51.331
0.505,-0.620,-1.370,-46.936,60.852,-58.350
0.451,-0.523,-1.278,-47.852,65.979,-65.369
0.396,-0.455,-1.213,-49.377,67.749,-71.472
0.344,-0.393,-1.172,-51.514,67.627,-76.233
0.284,-0.338,-1.132,-52.979,67.688,-78.552
0.219,-0.293,-1.110,-51.575,71.289,-77.148
0.171,-0.224,-1.103,-44.250,79.346,-73.181
0.175,-0.158,-1.109,-30.212,90.149,-67.444
0.208,-0.117,-1.065,-12.146,99.548,-58.044
0.208,-0.121,-0.996,4.761,102.173,-48.218
0.239,-0.204,-0.910,15.808,99.670,-45.715
0.274,-0.307,-0.822,15.259,87.158,-52.612
0.324,-0.363,-0.772,4.089,71.472,-64.209
0.373,-0.365,-0.721,-12.634,54.077,-74.524
0.364,-0.306,-0.716,-28.809,37.231,-78.735
0.346,-0.227,-0.767,-36.316,28.809,-77.820
0.330,-0.169,-0.814,-32.776,25.452,-73.242
0.322,-0.156,-0.848,-21.851,26.489,-66.101
0.342,-0.162,-0.881,-10.986,31.738,-58.105
0.373,-0.194,-0.889,-1.831,38.757,-49.377
0.383,-0.264,-0.890,6.226,46.509,-41.626
0.411,-0.334,-0.887,11.230,53.162,-38.452
0.450,-0.376,-0.870,9.705,56.335,-39.124
0.470,-0.396,-0.845,2.319,55.664,-42.053
0.478,-0.386,-0.846,-6.592,52.185,-45.288
0.467,-0.367,-0.854,-15.625,47.485,-47.974
0.436,-0.349,-0.864,-25.330,42.969,-48.157
0.417,-0.344,-0.890,-32.898,39.856,-46.692
0.400,-0.326,-0.914,-34.912,38.879,-45.227
0.373,-0.313,-0.925,-33.020,38.940,-43.579
0.363,-0.304,-0.932,-30.701,39.307,-40.710
0.355,-0.310,-0.928,-26.184,39.673,-37.292
0.339,-0.333,-0.897,-19.592,38.452,-34.546
0.324,-0.368,-0.888,-15.320,36.560,-33.447
0.282,-0.407,-0.927,-13.184,35.706,-33.875
0.265,-0.433,-0.946,-13.000,36.987,-36.865
0.275,-0.446,-0.937,-16.907,40.039,-39.795
0.288,-0.441,-0.941,-22.278,43.701,-40.894
0.279,-0.436,-0.950,-24.109,45.898,-42.542
0.255,-0.427,-0.954,-24.414,46.875,-43.762
0.218,-0.426,-0.964,-27.344,47.241,-43.518
0.205,-0.427,-0.974,-31.189,48.767,-42.053
0.193,-0.416,-0.990,-33.081,50.293,-40.466
0.174,-0.415,-1.000,-32.593,50.232,-37.537
0.153,-0.434,-1.014,-29.480,49.988,-33.325
0.107,-0.477,-1.050,-24.353,49.316,-29.846
0.070,-0.517,-1.102,-19.775,50.781,-28.503
0.075,-0.558,-1.122,-17.944,54.993,-29.114
0.071,-0.592,-1.112,-18.616,58.899,-29.358
0.059,-0.631,-1.101,-19.897,61.157,-29.358
0.047,-0.684,-1.087,-20.508,61.890,-29.907
0.059,-0.713,-1.062,-21.667,59.937,-30.396
0.004,-0.754,-1.072,-23.499,53.406,-32.410
-0.035,-0.778,-1.124,-24.719,48.645,-36.133
-0.073,-0.783,-1.187,-22.034,47.546,-41.565
-0.114,-0.777,-1.267,-17.822,49.805,-45.959
-0.132,-0.773,-1.362,-10.620,56.580,-49.500
-0.137,-0.789,-1.415,-1.465,66.162,-52.979
-0.152,-0.799,-1.425,4.456,77.026,-55.237
-0.172,-0.798,-1.434,6.958,87.891,-56.824
-0.204,-0.801,-1.429,11.169,98.022,-59.631
-0.228,-0.798,-1.393,14.587,106.689,-63.477
-0.255,-0.805,-1.370,13.489,114.807,-66.895
-0.262,-0.775,-1.387,11.230,122.742,-71.655
-0.293,-0.734,-1.331,11.597,128.174,-77.026
-0.342,-0.685,-1.277,9.705,133.484,-79.224
-0.383,-0.640,-1.260,8.240,139.465,-78.857
-0.421,-0.618,-1.233,11.047,146.851,-78.613
-0.424,-0.619,-1.163,14.343,157.166,-78.125
-0.431,-0.656,-1.123,15.991,167.358,-77.332
-0.411,-0.629,-1.099,20.142,177.856,-81.848
-0.438,-0.588,-1.055,26.001,187.134,-88.806
-0.460,-0.519,-1.044,31.616,195.984,-91.370
-0.458,-0.461,-1.023,38.574,206.055,-89.355
-0.450,-0.445,-0.921,43.823,216.003,-83.252
-0.467,-0.420,-0.845,42.908,222.473,-75.867
-0.465,-0.378,-0.799,40.771,225.159,-71.716
-0.470,-0.356,-0.738,39.612,226.929,-68.726
-0.465,-0.356,-0.676,37.659,229.126,-65.735
-0.429,-0.337,-0.614,34.485,231.323,-64.697
-0.411,-0.279,-0.536,29.297,231.506,-64.575
-0.398,-0.223,-0.447,25.024,230.042,-62.500
-0.392,-0.177,-0.364,21.973,227.844,-56.824
-0.362,-0.149,-0.251,19.409,224.915,-49.255
-0.303,-0.134,-0.115,14.465,219.421,-41.138
-0.266,-0.133,0.021,5.554,207.642,-31.433
-0.229,-0.119,0.111,-7.874,189.819,-19.592
-0.178,-0.109,0.169,-23.621,169.861,-6.714
-0.073,-0.126,0.251,-38.269,151.733,5.859
0.056,-0.150,0.376,-50.598,135.132,20.325
0.172,-0.170,0.541,-63.232,120.056,36.621
0.302,-0.200,0.785,-78.735,106.262,54.932
0.428,-0.241,1.098,-97.534,91.553,77.759
0.552,-0.261,1.432,-117.310,72.449,103.577
0.701,-0.332,1.775,-129.944,43.091,128.967
0.969,-0.510,2.105,-128.967,1.831,152.161
1.314,-0.741,2.384,-110.779,-59.998,166.931
1.704,-0.958,2.588,-77.209,-150.269,173.645
2.104,-1.169,2.424,-28.687,-264.709,173.279
2.543,-1.356,2.042,31.128,-380.249,158.447
3.011,-1.516,1.378,82.092,-469.238,129.028
3.216,-1.554,0.722,129.578,-516.113,81.604
3.263,-1.437,0.239,162.170,-534.607,16.846
3.117,-1.206,-0.099,177.124,-538.513,-49.622
2.874,-0.869,-0.411,181.091,-534.180,-99.365
2.552,-0.474,-0.826,180.908,-526.855,-129.028
2.129,-0.137,-1.376,190.247,-519.653,-145.813
1.804,0.154,-2.152,214.966,-508.362,-164.612
