aX,aY,aZ,gX,gY,gZ
-0.515,-0.768,0.634,2.014,-15.015,-4.150
-0.379,-0.764,0.631,-10.437,-5.127,-41.504
-0.416,-0.733,0.611,-9.949,5.249,-47.119
-0.325,-0.721,0.658,-6.104,12.695,-49.744
-0.310,-0.710,0.625,-6.287,16.296,-46.143
-0.427,-0.687,0.576,-5.798,19.470,-39.246
-0.417,-0.626,0.566,-2.502,24.719,-40.222
-0.343,-0.619,0.585,5.310,29.053,-41.382
-0.307,-0.660,0.566,11.902,31.799,-34.729
-0.166,-0.668,0.734,13.550,25.574,-27.832
-0.321,-0.695,0.713,4.700,11.108,-11.963
-0.289,-0.662,0.619,-5.798,8.606,-6.287
-0.326,-0.664,0.579,-4.150,5.676,-3.479
-0.417,-0.630,0.531,4.517,5.249,-2.502
-0.433,-0.664,0.576,14.221,8.545,-5.066
-0.362,-0.646,0.587,20.935,8.423,-10.498
-0.350,-0.642,0.554,24.353,13.672,-9.399
-0.340,-0.679,0.565,26.733,19.104,-8.423
-0.347,-0.681,0.609,28.625,17.578,-11.353
-0.344,-0.704,0.656,22.522,17.090,-12.085
-0.351,-0.664,0.572,11.902,16.785,-11.963
-0.361,-0.622,0.596,10.254,15.503,-11.780
-0.346,-0.645,0.647,12.268,12.756,-9.827
-0.356,-0.616,0.660,12.268,7.935,-6.104
-0.386,-0.633,0.675,8.301,3.540,0.793
-0.434,-0.671,0.665,6.592,-1.648,6.287
-0.482,-0.677,0.635,7.812,-5.066,6.348
-0.492,-0.646,0.513,10.193,-2.502,2.625
-0.430,-0.616,0.498,18.494,5.554,-2.625
-0.349,-0.618,0.493,28.992,13.550,-4.639
-0.298,-0.622,0.503,39.612,12.695,-3.845
-0.312,-0.626,0.560,48.950,7.080,-1.831
-0.330,-0.676,0.616,55.664,3.174,0.977
-0.348,-0.746,0.655,60.181,3.967,3.723
-0.376,-0.787,0.692,57.861,6.409,3.845
-0.394,-0.796,0.710,48.035,7.446,1.282
-0.393,-0.778,0.712,39.063,9.583,-2.991
-0.362,-0.783,0.730,36.011,12.512,-7.751
-0.350,-0.808,0.738,39.124,11.841,-12.878
-0.346,-0.799,0.776,38.940,8.118,-17.212
-0.414,-0.803,0.704,31.555,9.705,-21.240
-0.523,-0.820,0.677,17.395,11.230,-20.020
-0.402,-0.752,0.684,5.249,18.555,-24.414
-0.326,-0.734,0.660,-7.019,28.809,-31.982
-0.312,-0.725,0.608,-16.541,36.316,-35.828
-0.365,-0.660,0.499,-20.325,42.786,-38.696
-0.336,-0.563,0.459,-5.676,57.312,-49.377
-0.189,-0.431,0.542,23.132,72.754,-67.993
-0.251,-0.485,0.566,42.053,77.026,-88.684
-0.432,-0.611,0.536,45.105,79.651,-100.525
-0.528,-0.753,0.566,38.635,80.933,-106.140
-0.445,-0.732,0.559,31.738,78.552,-99.670
-0.422,-0.707,0.512,26.367,79.590,-91.858
-0.429,-0.729,0.532,27.588,76.416,-97.656
-0.427,-0.730,0.580,36.072,66.650,-102.905
-0.438,-0.712,0.622,52.246,59.753,-104.431
-0.416,-0.717,0.667,74.707,67.993,-106.812
-0.381,-0.733,0.635,80.017,82.764,-109.802
-0.415,-0.766,0.616,66.406,94.116,-105.957
-0.401,-0.756,0.560,41.687,100.403,-95.825
-0.422,-0.760,0.452,22.583,100.769,-80.811
-0.460,-0.758,0.393,9.094,87.646,-62.134
-0.522,-0.808,0.487,-0.854,66.711,-43.457
-0.447,-0.782,0.571,-10.620,54.871,-29.968
-0.301,-0.809,0.619,-32.959,57.251,-23.987
-0.326,-0.849,0.611,-60.486,52.917,-18.433
-0.425,-0.790,0.711,-76.660,46.631,-15.442
-0.496,-0.726,0.866,-82.336,42.969,2.380
-0.352,-0.554,0.777,-73.914,56.335,25.391
-0.325,-0.484,0.689,-61.157,61.890,36.255
-0.357,-0.464,0.643,-50.415,53.345,35.767
-0.435,-0.458,0.617,-36.560,41.382,33.081
-0.456,-0.490,0.530,-21.667,33.447,23.071
-0.341,-0.588,0.514,-1.526,39.734,13.977
-0.227,-0.719,0.493,18.921,42.297,9.460
-0.048,-1.006,0.528,37.476,48.767,12.146
-0.183,-0.985,0.657,45.959,44.373,25.024
-0.365,-0.807,0.787,32.410,36.255,39.246
-0.164,-0.657,0.765,12.390,41.809,42.786
-0.209,-0.639,0.725,5.981,43.640,37.781
-0.192,-0.554,0.666,9.399,34.424,32.410
-0.234,-0.519,0.625,19.287,19.775,13.611
-0.293,-0.487,0.595,28.320,10.925,-0.244
-0.256,-0.528,0.563,39.673,7.080,-12.573
-0.248,-0.645,0.603,51.819,5.432,-18.555
-0.277,-0.656,0.631,56.091,7.019,-13.733
-0.266,-0.632,0.631,50.110,10.742,-8.667
-0.239,-0.674,0.630,42.908,12.451,-8.118
-0.229,-0.680,0.620,39.063,10.803,-6.775
-0.244,-0.683,0.624,35.950,11.353,-5.615
-0.240,-0.699,0.632,29.724,10.498,-7.263
-0.198,-0.743,0.657,21.118,7.751,-9.888
-0.258,-0.753,0.662,13.550,5.310,-10.071
-0.299,-0.735,0.646,5.188,5.798,-9.705
-0.313,-0.720,0.604,1.343,8.606,-12.451
-0.315,-0.716,0.606,2.747,9.705,-16.541
-0.311,-0.710,0.618,7.263,10.376,-21.912
-0.240,-0.720,0.647,9.277,12.817,-27.771
-0.329,-0.658,0.709,10.010,12.329,-36.743
-0.369,-0.605,0.698,10.437,10.681,-39.429
-0.336,-0.542,0.682,9.521,10.132,-44.434
-0.270,-0.565,0.601,8.057,9.888,-55.725
-0.178,-0.509,0.509,5.615,13.611,-76.477
-0.349,-0.543,0.488,3.296,15.137,-95.093
-0.532,-0.741,0.497,2.686,2.075,-97.595
-0.418,-0.857,0.543,8.850,-13.367,-83.435
-0.283,-0.902,0.563,20.630,-22.461,-66.162
-0.261,-0.894,0.646,26.306,-18.494,-56.763
-0.303,-0.935,0.721,22.095,-17.334,-47.852
-0.313,-0.862,0.470,14.648,-11.719,-40.527
-0.208,-0.628,0.428,28.381,2.319,-37.903
-0.373,-0.652,0.674,48.340,9.338,-30.029
-0.393,-0.721,0.764,55.176,1.099,-31.555
-0.348,-0.732,0.705,58.044,-4.333,-35.706
-0.402,-0.739,0.728,58.899,-5.798,-33.936
-0.359,-0.734,0.718,49.866,-4.333,-32.776
-0.311,-0.683,0.713,34.729,2.686,-30.090
